"gene_id","gene_symbol","logFC","logCPM","PValue","FDR","F"
"YGR087C","PDC6",4.87745947372633,5.54006531417605,1.97871570076578e-13,9.10749083610139e-10,1309.98055731751
"YHR094C","HXT1",4.57946411668311,6.00569266253586,3.58703853332075e-13,9.10749083610139e-10,1182.65532003219
"YEL069C","HXT13",-6.38468510491932,6.09916638303816,5.25394965852775e-12,8.89318545533463e-09,746.488700336565
"YGR088W","CTT1",4.6320655997331,6.0536770274072,8.06693627244639e-12,1.02409755978707e-08,692.193621629091
"YNR072W","HXT17",-5.56507234928742,6.79091449523902,1.4093586703524e-11,1.4313446656099e-08,628.621438963305
"YOR273C","TPO4",3.62066725465962,5.3887693965084,1.92597782962471e-11,1.44572349243856e-08,595.514955740052
"YKR097W","PCK1",-4.64384010743918,5.14205638585529,2.03655235448267e-11,1.44572349243856e-08,590.076014283657
"YPL095C","EEB1",3.72608572933097,5.32640965918358,2.2776266127429e-11,1.44572349243856e-08,578.472886755671
"YEL070W","DSF1",-6.96605641909155,6.53856369989179,2.93173995777807e-11,1.60448068009139e-08,554.822758280138
"YGL055W","OLE1",3.40261168644203,7.77511901430927,3.18614150768906e-11,1.60448068009139e-08,545.704976441094
"YJL212C","OPT1",4.14451780838884,4.61134701407433,3.47563755041459e-11,1.60448068009139e-08,538.412993918009
"YOR047C","STD1",3.26805249622659,2.9878864399895,5.92224348171244e-11,2.50609603334465e-08,491.084705317812
"YJL052W","TDH1",3.87452281500367,10.3901814316535,6.9094853388391e-11,2.69895127312499e-08,477.07484749805
"YNR073C","MAN2",-7.49250927589718,7.73464968918138,1.0771421144329e-10,3.88056407396534e-08,441.974947599429
"YOL128C","YGK3",3.41657890181363,4.28981814524975,1.14628714276251e-10,3.88056407396534e-08,437.014521023793
"YDR089W","VTC5",2.34075134804146,3.63031881922244,1.87774494633643e-10,5.69717116254548e-08,400.936891447589
"YLR004C","THI73",2.84851213123813,3.19397008773525,1.99874952857958e-10,5.69717116254548e-08,396.793049802534
"YMR145C","NDE1",-2.92465793459137,5.37715336111229,2.02474872510617e-10,5.69717116254548e-08,395.605365731423
"YBL049W","MOH1",2.83586667849617,4.91278241719038,2.13167097456408e-10,5.69717116254548e-08,392.084407603384
"YOR247W","SRL1",-3.3434184048076,4.41480473911499,2.58901969875174e-10,6.57352101513067e-08,379.05734649631
"YOR384W","FRE5",4.98676194273555,1.35626525952205,3.72874567645679e-10,9.01646216430837e-08,278.13194726114
"YDL210W","UGA4",3.27970045382674,3.48996954700071,4.06911128109532e-10,9.37596777858635e-08,350.378115430131
"YIR019C","FLO11",-4.2501795435124,10.3468440107449,4.2466967094818e-10,9.37596777858635e-08,347.496035228189
"YMR319C","FET4",3.32581328833209,3.88223939672786,5.27662513326172e-10,1.11644593444596e-07,334.67396328275
"YCR012W","PGK1",3.18615351695817,9.00043428951339,5.84679387244373e-10,1.18760077137077e-07,328.538714228466
"YOL126C","MDH2",2.59264763382385,4.32551595938891,6.50250626502528e-10,1.2699894928384e-07,322.528717227503
"YNL036W","NCE103",-3.44633928938103,5.73416837994367,7.56036879913612e-10,1.42190936155604e-07,314.05082035814
"YGR049W","SCM4",2.44570617998081,2.32616210951943,7.98145300291534e-10,1.44462223597227e-07,311.586829247099
"YFR015C","GSY1",-3.37021707412126,4.35193284966535,8.40945613668079e-10,1.44462223597227e-07,308.305287028936
"YJL158C","CIS3",-3.25309526036689,4.56142705364026,8.53459375328243e-10,1.44462223597227e-07,307.482383861313
"YGR125W","VSB1",1.99004962344514,6.44977435617817,8.96283875589531e-10,1.46817081298182e-07,304.767357699565
"YOR274W","MOD5",2.11509480509616,3.3454711692301,9.96855705853972e-10,1.58188539822702e-07,299.206316529189
"YIL053W","GPP1",2.8092417883219,3.29042177477839,1.11206885682145e-09,1.71123807725435e-07,293.573003076047
"YJR152W","DAL5",2.15821836722536,6.87863744424833,1.21063965664124e-09,1.80812593424241e-07,289.047811921038
"YKL001C","MET14",-2.65977914936755,4.2580232967058,1.77089187963489e-09,2.569311132796e-07,270.322551813732
"YPL111W","CAR1",-2.61323724851089,3.95043122677574,1.90157090051823e-09,2.68227139800877e-07,266.93993850991
"YKR009C","FOX2",1.9950314048778,3.47818880308452,2.1351233914663e-09,2.87064612834645e-07,261.546639702621
"YJR095W","SFC1",-4.00190407795813,3.34613685794,2.14817945799853e-09,2.87064612834645e-07,261.852845760847
"YKR034W","DAL80",2.57430366158439,4.96508475900907,2.46022874353618e-09,3.2033439896607e-07,255.009562428451
"YPL201C","YIG1",-4.28061695427509,2.77793049110964,2.52712086216035e-09,3.20817993451256e-07,256.477345464804
"YLR377C","FBP1",-3.73152372741793,5.36484745044236,2.73464565990889e-09,3.38695869780911e-07,250.285081528665
"YPR167C","MET16",-3.08910886698162,4.61171499051872,2.80417231249142e-09,3.390377857817e-07,249.190605047284
"YPL106C","SSE1",-2.53234157715109,7.13110892419031,2.99896920245848e-09,3.54157339769399e-07,246.188539167703
"YOR386W","PHR1",7.58006256025477,1.95157170373311,3.30919480358403e-09,3.81911163922721e-07,392.090714374553
"YKL164C","PIR1",-2.07968147840625,5.43605177271715,3.63324134392543e-09,4.09991100987851e-07,237.950406724249
"YGR060W","ERG25",2.00366909137165,5.62825468393137,4.02072383111783e-09,4.43852948139485e-07,233.700850324136
"YNL065W","AQR1",1.86238211739586,2.96769204519943,4.29235434018273e-09,4.63756922115913e-07,231.09850902574
"YAL038W","CDC19",2.08103994915803,7.60746743723798,4.53506649095872e-09,4.79772242522675e-07,228.738813257177
"YJR158W","HXT16",-2.58419194663736,3.85779795416352,4.7244562833214e-09,4.89607938912369e-07,227.132219072861
"YBL048W","RRT1",2.22808207819648,4.25123621700489,5.32125173859441e-09,5.17596921131059e-07,222.343161992758
"YDR406W","PDR15",2.10539923246826,5.85250858047786,5.52608410818847e-09,5.17596921131059e-07,220.825691186078
"YDL245C","HXT15",-2.55568442336012,3.87379298038558,5.62946307530849e-09,5.17596921131059e-07,220.143715413237
"YCL020W","co",2.30229196241984,5.23214865286925,5.6889639915945e-09,5.17596921131059e-07,219.694281530039
"YOL086C","ADH1",1.96967370784446,6.80570801776087,5.73138922848765e-09,5.17596921131059e-07,219.391252525594
"YHL028W","WSC4",2.34067720218697,3.95002959651973,5.73285849403234e-09,5.17596921131059e-07,219.420053121913
"YNR067C","DSE4",-2.3131621403063,4.42915454422248,5.7375177896549e-09,5.17596921131059e-07,219.368104870731
"YDR536W","STL1",-2.74366341408189,4.60557553375568,5.80996937858809e-09,5.17596921131059e-07,218.882132010857
"YDR345C","HXT3",2.17929387406489,7.94770969722973,6.01966970498448e-09,5.26982510744653e-07,217.478444535251
"YER132C","PMD1",1.77599484689793,4.04197639508774,6.12287674949478e-09,5.26982510744653e-07,216.846506897875
"YCR032W","BPH1",2.20323628395259,3.75993541376231,6.75314705847633e-09,5.71541346049047e-07,213.107042139615
"YOR348C","PUT4",2.49503184643528,6.01500280026067,6.92348195513326e-09,5.76351497838798e-07,212.116973538868
"YDR146C","SWI5",-4.0765046880552,1.17190159799649,7.38849991501082e-09,6.0514197691008e-07,201.338788245306
"YOR020C","HSP10",-1.95755056108289,5.65657141421114,8.05940914492822e-09,6.49613962507071e-07,206.434027863897
"YJL034W","KAR2",-2.2725551800189,7.36921942309223,8.65216268126524e-09,6.86495032741639e-07,203.823581558675
"YGR144W","THI4",2.54867966874626,1.92272410575586,9.72137386871447e-09,7.5946363854357e-07,200.435660135976
"YDL039C","PRM7",-3.09451019590228,3.0801623706095,1.0579216725185e-08,8.1395852318923e-07,197.115043852844
"YOL002C","IZH2",2.41939431703444,4.21314078854766,1.12654827850379e-08,8.53822710185412e-07,194.438305214325
"YAL012W","CYS3",-2.54603008604533,3.29524269650072,1.17556840272699e-08,8.7787299250701e-07,192.999482846317
"YIL155C","GUT2",-3.45340907652618,5.54814349007662,1.23849460553819e-08,9.11460232887379e-07,191.139551011031
"YJR009C","TDH2",1.96410363779961,8.75663038782145,1.29913616256669e-08,9.42430490501953e-07,189.491601445106
"YJR138W","IML1",1.59861805333907,4.6285991681221,1.31998245499017e-08,9.44066324850716e-07,188.961209437995
"YBR072W","HSP26",-4.09090605876532,7.930714334879,1.35424710125095e-08,9.55120386132267e-07,188.082073168789
"YLR346C","CIS1",-2.67521663416477,2.40079655436952,1.39029708475535e-08,9.67113506354473e-07,187.461982412406
"YNL339C","YRF1",2.40393318405951,3.98549028610854,1.4826648520555e-08,1.0174286646943e-06,185.071207715758
"YPR002W","PDH1",-2.63791066314957,2.83399415991635,1.67577482088797e-08,1.13461127206255e-06,181.314425042237
"YER065C","ICL1",-1.73572242326598,4.45350946334771,1.76702596692224e-08,1.1806523500041e-06,179.295085332408
"YER103W","SSA4",-3.49829918077209,7.05680011190393,1.83824983765684e-08,1.21228995787292e-06,178.017097017019
"YLR446W","NGK1",2.09534451350539,2.87250428513645,1.88981966775866e-08,1.23032106062545e-06,177.214783102705
"YOR381W","FRE3",2.78307220584668,2.05155488120809,2.01355314472679e-08,1.29428137581299e-06,176.372972651813
"YKL152C","GPM1",1.77371239476861,7.59450364059867,2.20766995366588e-08,1.40131850308942e-06,172.224447797921
"YHR092C","HXT4",2.19578621383702,4.47163025711507,2.25532611115528e-08,1.41230374348665e-06,171.574420986364
"YDR223W","CRF1",2.11254201573902,3.15056842475635,2.28060076734748e-08,1.41230374348665e-06,171.275736023576
"YMR002W","MIX17",-1.99651313242658,5.46100968651262,2.33880918931802e-08,1.43090036907914e-06,170.441550229743
"YIL071C","PCI8",1.83746137727476,3.12627083111413,2.43394083571192e-08,1.46518872138739e-06,169.273586651193
"YHR174W","ENO2",1.94479074473579,7.14855939977948,2.45256087668233e-08,1.46518872138739e-06,168.980075587654
"YJR120W","DMO1",-2.25623853703891,4.67121672322895,2.4989735434966e-08,1.47555670393904e-06,168.422090162212
"YGR052W","FMP48",2.84109645184364,2.30299580873629,2.63264627339735e-08,1.51969522145973e-06,167.274544968777
"YJL116C","NCA3",3.35994688373991,6.70022144818534,2.63357974573564e-08,1.51969522145973e-06,166.819169043646
"YLR364W","GRX8",-3.11721297953669,1.61778851616768,2.71458331031317e-08,1.54883753368206e-06,167.569287071482
