SRR10551657_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551658_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551659_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551660_trimmed_Aligned.sortedByCoord.out.bam	SRR10551661_trimmed_Aligned.sortedByCoord.out.bam	SRR10551662_trimmed_Aligned.sortedByCoord.out.bam	SRR10551663_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551664_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551665_1_trimmed_Aligned.sortedByCoord.out.bam
YAL068C	12	9	17	6	14	4	13	16	9
YAL067W-A	2	0	2	0	1	0	0	4	0
YAL067C	73	61	49	211	171	106	71	53	57
YAL065C	14	3	10	13	9	11	9	15	9
YAL064W-B	5	0	2	15	11	12	9	7	12
YAL064C-A	1	0	1	0	3	0	2	1	2
YAL064W	0	0	0	0	0	0	0	0	0
YAL063C-A	0	1	0	0	0	0	0	0	0
YAL063C	106	67	103	108	105	65	163	179	143
YAL062W	109	70	91	116	201	111	70	89	84
YAL061W	183	130	162	149	156	85	369	438	408
YAL060W	367	319	459	133	210	78	629	758	683
YAL059W	21	24	14	69	43	34	36	48	43
YAL058W	15	8	14	29	30	38	41	36	40
YAL056W	141	65	112	363	220	193	423	503	494
YAL055W	78	61	67	67	132	16	40	44	65
YAL054C	143	118	129	156	152	139	146	132	138
YAL053W	122	91	78	327	221	237	278	293	304
YAL051W	92	72	85	148	126	79	183	202	176
YAL049C	278	213	238	491	362	268	241	332	313
YAL048C	18	13	19	64	34	30	70	73	62
YAL047C	29	23	23	46	50	7	24	26	40
YAL046C	30	16	27	73	42	50	23	24	22
YAL044W-A	78	42	49	90	85	32	45	92	64
YAL044C	234	145	189	191	185	97	104	133	108
YAL043C	38	22	13	71	43	49	48	49	42
YAL042W	62	43	50	95	104	69	109	115	98
YAL041W	43	30	20	111	91	37	100	96	105
YAL040C	31	16	20	86	82	56	99	93	83
YAL039C	100	63	76	109	131	67	82	113	93
YAL038W	748	458	592	2451	2741	1358	5307	5400	4771
YAL037C-A	10	4	2	10	17	2	10	17	17
YAL037W	6	7	3	7	12	11	23	42	41
YAL036C	27	18	14	64	80	47	42	40	37
YAL035W	578	368	433	516	923	213	287	375	360
YAL034W-A	21	9	16	27	25	8	14	13	21
YAL034C	438	258	331	162	226	65	203	237	232
YAL033W	19	12	12	52	36	15	29	22	32
YAL032C	18	22	22	73	61	37	51	68	63
YAL031C	76	43	49	111	104	71	176	169	160
YAL030W	98	84	86	138	149	74	119	137	122
YAL029C	173	99	110	458	288	171	234	327	315
YAL028W	24	25	33	10	23	5	25	25	26
YAL027W	29	22	28	35	44	13	37	35	40
YAL026C	78	39	38	203	164	70	137	161	171
YNCA0001W	3	1	6	20	13	14	16	27	16
YAL025C	40	23	19	129	92	28	24	52	27
YAL024C	48	23	24	111	78	43	54	68	42
YAL023C	178	129	145	308	313	227	139	171	141
YAL022C	31	19	24	48	45	50	57	64	58
YAL021C	48	31	34	150	85	133	177	156	145
YAL020C	8	3	8	23	21	32	31	33	24
YAL019W	93	62	64	209	233	80	138	143	150
YAL018C	3	3	3	1	6	1	1	1	1
YAL017W	327	229	272	485	366	287	635	659	723
YAL016W	250	161	191	492	335	282	367	451	374
YAL015C	29	17	40	36	48	23	29	25	17
YAL014C	33	14	26	31	39	32	29	28	25
YAL013W	53	39	57	42	69	45	33	44	44
YAL012W	191	130	148	197	202	145	33	29	32
YAL011W	98	88	89	46	107	10	37	63	67
YAL010C	23	13	14	60	56	16	26	31	22
YAL009W	29	11	13	60	52	30	55	45	54
YAL008W	70	54	61	140	99	73	123	151	149
YAL007C	82	57	45	194	161	96	43	30	44
YNCA0002W	7	3	3	4	4	5	0	2	3
YAL005C	8326	6269	7068	5707	5326	3191	3277	4117	3553
YAL003W	290	137	171	752	767	323	403	495	503
YNCA0003W	14	14	15	28	22	33	38	40	33
YAL002W	70	36	37	74	78	45	131	146	158
YAL001C	121	90	87	256	234	103	226	261	270
YAR002W	41	49	44	134	90	44	91	94	87
YAR002C-A	91	72	71	293	247	173	88	69	98
YAR003W	16	16	12	130	68	59	71	79	78
YAR007C	81	73	88	227	134	119	99	121	148
YAR008W	19	12	15	85	58	26	32	59	36
YAR009C	1	3	0	0	1	0	2	0	1
YAR010C	1	1	1	2	1	1	1	1	1
YNCA0004W	6	2	4	1	6	0	9	1	1
YAR014C	46	21	21	159	113	63	99	129	133
YAR015W	83	48	53	387	277	209	149	156	150
YAR018C	8	14	16	37	37	18	17	14	11
YAR019C	35	24	29	52	49	23	55	77	76
YAR020C	1	2	3	4	6	5	8	6	7
YAR023C	14	10	11	10	10	16	20	24	18
YNCA0005W	8	4	3	1	3	1	1	0	2
YNCA0006C	16	17	27	4	6	10	10	3	4
YAR027W	29	19	24	105	73	64	3	0	4
YAR028W	5	6	6	17	10	3	1	0	1
YAR029W	7	3	1	15	9	1	0	1	0
YAR031W	1	0	3	5	4	0	1	1	1
YAR033W	11	2	4	13	14	10	0	0	0
YAR035W	15	11	16	20	26	30	6	0	5
YAR035C-A	6	2	3	2	3	0	0	0	2
YAR042W	96	67	84	127	158	56	189	242	220
YAR050W	93	62	100	108	99	75	174	177	140
YAR061W	5	4	1	4	4	1	9	6	5
YAR064W	2	2	7	2	3	4	1	8	5
YAR066W	11	6	5	6	14	8	14	13	8
YAR068W	9	7	4	65	56	44	31	33	36
YAR071W	47	37	25	101	170	58	92	135	127
YBL113C	64	44	78	28	58	21	149	166	161
YBL112C	0	0	1	0	0	0	0	0	0
YBL111C	56	31	27	43	46	50	155	194	176
YBL108C-A	20	12	11	3	12	3	11	9	9
YNCB0001W	4	9	4	4	2	2	5	3	3
YBL107C	114	71	60	132	141	36	59	82	83
YBL106C	99	69	87	58	63	47	98	112	98
